Port,Year,Overseas - Embarked,Overseas - Disembarked,Overseas - Total,Coastal - Embarked,Coastal - Disembarked,Coastal - Total,Total - Embarked,Total - Disembarked,Total,Note of Overseas - Embarked,Note of Overseas - Disembarked,Note of Overseas - Total
Kandla,1965-66,NA,NA,NA,90.7,83.8,174.5,90.7,83.8,174.5,(a),(a),(a)
Kandla,1970-71,NA,NA,NA,29.7,29.9,59.6,29.7,29.9,59.6,NA,NA,NA
Kandla,1988-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kandla,1989-90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kandla,1990-91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kandla,1991-92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kandla,1992-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kandla,1993-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kandla,1994-95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kandla,1995-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mumbai,1965-66,67.8,75.9,143.7,309.4,294.9,604.3,377.2,370.8,748,NA,NA,NA
Mumbai,1970-71,50.7,52.9,103.6,248.7,230.9,479.6,299.4,283.8,583.2,NA,NA,NA
Mumbai,1975-76,77.3,36,113.3,82.6,72.2,154.8,159.9,108.2,268.1,NA,NA,NA
Mumbai,1980-81,17.9,20.9,38.8,121.8,116.1,237.9,139.7,137,276.7,NA,NA,NA
Mumbai,1985-86,6.3,6.2,12.5,121.9,124.1,246,128.2,130.3,258.5,NA,NA,NA
Mumbai,1986-87,5.1,3.5,8.6,123.9,123.2,247.1,129,126.7,255.7,NA,NA,NA
Mumbai,1987-88,6.3,7.3,13.6,117.5,119.9,237.4,123.8,127.2,251,NA,NA,NA
Mumbai,1988-89,6.3,7,13.3,11.6,9.8,21.4,17.9,16.8,34.7,NA,NA,NA
Mumbai,1989-90,8.7,9.1,17.8,NA,NA,NA,8.7,9.1,17.8,NA,NA,NA
Mumbai,1990-91,5.8,9.1,14.9,NA,NA,NA,5.8,9.1,14.9,NA,NA,NA
Mumbai,1991-92,6.9,7.3,14.2,NA,NA,NA,6.9,7.3,14.2,NA,NA,NA
Mumbai,1992-93,10.3,9,19.3,NA,NA,NA,10.3,9,19.3,NA,NA,NA
Mumbai,1993-94,7.2,8.6,15.8,NA,NA,NA,7.2,8.6,15.8,NA,NA,NA
Mumbai,1994-95,7,12.9,19.9,31.3,26.3,57.6,38.3,39.2,77.5,NA,NA,NA
Mumbai,1995-96,9,12.9,21.9,31.4,34.4,65.8,40.4,47.3,67.7,NA,NA,NA
Jawaharlal Nehru,1990-91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jawaharlal Nehru,1991-92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jawaharlal Nehru,1992-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jawaharlal Nehru,1993-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jawaharlal Nehru,1994-95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jawaharlal Nehru,1995-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mormugao,1965-66,0.4,1.3,1.7,10.1,9.6,19.7,10.5,10.9,21.4,NA,NA,NA
Mormugao,1970-71,NA,1.4,1.4,1.4,0.1,1.5,1.4,1.5,2.9,NA,NA,NA
Mormugao,1975-76,NA,0.2,0.2,NA,NA,NA,NA,0.2,0.2,NA,NA,NA
Mormugao,1988-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mormugao,1989-90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mormugao,1990-91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mormugao,1991-92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mormugao,1992-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mormugao,1993-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mormugao,1994-95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mormugao,1995-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mangalore,1988-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mangalore,1989-90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mangalore,1990-91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mangalore,1991-92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mangalore,1992-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mangalore,1993-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mangalore,1994-95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mangalore,1995-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cochin,1965-66,0.1,0.1,0.2,0.6,1.2,1.8,0.7,1.3,2,NA,NA,NA
Cochin,1970-71,0,0,0,1.3,3.1,4.4,1.3,3.1,4.4,NA,NA,NA
Cochin,1975-76,0,0,0,5.7,5.2,10.9,5.7,5.2,10.9,NA,NA,NA
Cochin,1980-81,0,0.1,0.1,5.9,7.6,13.5,5.9,7.7,13.6,NA,NA,NA
Cochin,1985-86,0.3,0.4,0.7,16.4,19.8,36.2,16.7,20.2,36.9,NA,NA,NA
Cochin,1986-87,0.6,0.7,1.3,17.2,18.6,35.8,17.8,19.3,37.1,NA,NA,NA
Cochin,1987-88,0.4,0.9,1.3,16.2,21,37.2,16.6,21.9,38.5,NA,NA,NA
Cochin,1988-89,0,0,0,21.4,20.5,41.9,21.4,20.5,41.9,NA,NA,NA
Cochin,1989-90,0.7,0.7,1.4,20.3,20.3,40.6,21,21,42,NA,NA,NA
Cochin,1990-91,1.3,1.4,2.7,19.3,21.1,40.4,20.6,22.5,43.1,NA,NA,NA
Cochin,1991-92,1.7,1.7,3.4,25.1,26.9,52,26.8,28.6,55.4,NA,NA,NA
Cochin,1992-93,4.4,4.3,8.7,28.1,27.4,55.5,32.5,31.7,64.2,NA,NA,NA
Cochin,1993-94,1.3,1.2,2.5,31.3,28.3,59.6,32.6,29.5,62.1,NA,NA,NA
Cochin,1994-95,1.8,1.7,3.5,30.7,26.5,57.2,32.5,26.2,60.7,NA,NA,NA
Cochin,1995-96,8.6,8.6,17.2,34.2,24.9,59.1,42.8,33.5,76.3,NA,NA,NA
Chennai,1965-66,27.3,72,99.3,4.6,4,8.6,31.9,76,107.9,NA,NA,NA
Chennai,1970-71,24.7,35.4,60.1,8.9,8,18.9,33.6,43.4,77,NA,NA,NA
Chennai,1975-76,20.9,15.9,36.8,15.1,13.8,28.9,36,29.7,65.7,NA,NA,NA
Chennai,1980-81,16.2,14.4,30.6,19.9,19,38.8,36,33.4,69.4,NA,NA,NA
Chennai,1985-86,2,3,5,24.2,29.2,47.4,26.2,26.2,52.4,NA,NA,NA
Chennai,1986-87,2.3,3.7,6,27,24.3,51.3,29.3,28,57.3,NA,NA,NA
Chennai,1987-88,0.4,0.6,1,34.8,35.6,70.4,35.2,36.2,71.4,NA,NA,NA
Chennai,1988-89,0.6,0.5,1.1,37.2,34.2,71.4,37.8,34.7,72.5,NA,NA,NA
Chennai,1989-90,NA,0.9,0.9,30,25.8,55.8,30,26.7,56.7,NA,NA,NA
Chennai,1990-91,NA,0.1,0.1,31.3,27.6,58.9,31.3,27.7,59,NA,NA,NA
Chennai,1991-92,7,1.4,8.4,27.2,25.9,53.1,34.2,27.3,61.5,NA,NA,NA
Chennai,1992-93,6.4,0.9,7.3,34.3,32.6,66.9,40.7,33.5,74.2,NA,NA,NA
Chennai,1993-94,6.9,NA,6.9,41.2,37.3,78.5,48.1,37.3,85.4,NA,NA,NA
Chennai,1994-95,10.1,NA,10.1,38.2,32.4,70.6,48.3,32.4,80.7,NA,NA,NA
Chennai,1995-96,3.3,NA,3,42.6,39.9,82.5,42.6,39.9,85.8,NA,NA,NA
Visakhapatnam,1975-76,NA,NA,NA,0.3,0.8,1.1,0.3,0.8,1.1,NA,NA,NA
Visakhapatnam,1980-81,NA,0.7,0.7,1,1.2,2.2,1,1.9,2.9,NA,NA,NA
Visakhapatnam,1985-86,NA,NA,NA,1.8,2,3.8,1.8,2,3.8,NA,NA,NA
Visakhapatnam,1986-87,NA,NA,NA,4.5,4.8,9.3,4.5,4.8,9.3,NA,NA,NA
Visakhapatnam,1987-88,NA,NA,NA,3,1.4,4.4,3,1.4,4.4,NA,NA,NA
Visakhapatnam,1988-89,NA,NA,NA,1.3,1.1,2.4,1.3,1.1,2.4,NA,NA,NA
Visakhapatnam,1989-90,NA,NA,NA,2.2,4.2,6.4,2.2,4.2,6.4,NA,NA,NA
Visakhapatnam,1990-91,NA,NA,NA,7.6,7.9,15.5,7.6,7.9,15.5,NA,NA,NA
Visakhapatnam,1991-92,NA,NA,NA,2.7,3.3,6,2.7,3.3,6,NA,NA,NA
Visakhapatnam,1992-93,NA,NA,NA,2.5,1.8,4.3,2.5,1.8,4.3,NA,NA,NA
Visakhapatnam,1993-94,NA,NA,NA,4.6,7.4,12,4.6,7.4,12,NA,NA,NA
Visakhapatnam,1994-95,NA,NA,NA,3.6,4.8,8.4,3.6,4.8,8.4,NA,NA,NA
Visakhapatnam,1995-96,NA,NA,NA,3.7,4,7.7,3.7,4,7.7,NA,NA,NA
Calcutta/Haldia,1965-66,NA,NA,NA,10.1,0.1,10.2,10.1,0.1,10.2,(a),(a),(a)
Calcutta/Haldia,1970-71,0.6,0.6,1.2,9.1,8,17.1,9.7,8.6,18.3,NA,NA,NA
Calcutta/Haldia,1975-76,NA,NA,NA,13.2,10.7,23.9,13.2,10.7,23.9,NA,NA,NA
Calcutta/Haldia,1980-81,NA,NA,NA,14.6,11,25.6,14.6,11,25.6,NA,NA,NA
Calcutta/Haldia,1985-86,NA,NA,NA,25.7,22.6,48.3,25.7,22.6,48.3,NA,NA,NA
Calcutta/Haldia,1986-87,NA,NA,NA,24.4,22.2,46.6,24.4,22.2,46.6,NA,NA,NA
Calcutta/Haldia,1987-88,NA,NA,NA,27.3,21.1,48.4,27.3,21.1,48.4,NA,NA,NA
Calcutta/Haldia,1988-89,NA,NA,NA,22.2,19.6,41.8,22.2,19.6,41.8,NA,NA,NA
Calcutta/Haldia,1989-90,NA,NA,NA,20.3,16.6,36.9,20.3,16.6,36.9,NA,NA,NA
Calcutta/Haldia,1990-91,NA,NA,NA,12.3,11.6,23.9,12.3,11.6,23.9,NA,NA,NA
Calcutta/Haldia,1991-92,NA,NA,NA,13.8,11.5,25.3,13.8,11.5,25.3,NA,NA,NA
Calcutta/Haldia,1992-93,NA,NA,NA,21.6,19.1,40.7,21.6,19.1,40.7,NA,NA,NA
Calcutta/Haldia,1993-94,NA,NA,NA,22.8,17.5,40.3,22.8,17.5,40.3,NA,NA,NA
Calcutta/Haldia,1994-95,NA,NA,NA,20.5,18.4,38.9,20.5,18.4,38.9,NA,NA,NA
Calcutta/Haldia,1995-96,NA,NA,NA,21.7,16.7,38.4,21.7,16.7,38.4,NA,NA,NA
All Major Ports,1965-66,95.6,158.9,254.5,425.5,393.6,619.1,521.1,552.5,1073.6,NA,NA,NA
All Major Ports,1970-71,76,90.3,166.3,299.1,280,579.1,375.1,370.3,745.4,NA,NA,NA
All Major Ports,1975-76,98.2,52.1,150.3,117.2,103,220.2,215.4,155.1,370.5,NA,NA,NA
All Major Ports,1980-81,34.1,36.1,70.2,163.1,154.9,318,197.2,191,388.2,NA,NA,NA
All Major Ports,1985-86,8.6,9.6,18.2,190,191.7,381.7,198.6,201.3,399.9,NA,NA,NA
All Major Ports,1986-87,8,7.9,15.9,197,193.1,390.1,205,201,406,NA,NA,NA
All Major Ports,1987-88,7.1,8.8,15.9,198.8,199,397.8,205.9,207.8,413.7,NA,NA,NA
All Major Ports,1988-89,6.9,7.5,14.4,93.7,85.2,178.9,100.6,92.7,193.3,NA,NA,NA
All Major Ports,1989-90,9.4,10.7,20.1,72.8,66.9,139.7,82.2,77.6,159.8,NA,NA,NA
All Major Ports,1990-91,7.1,10.6,17.7,70.5,68.2,138.7,77.6,78.8,156.4,NA,NA,NA
All Major Ports,1991-92,15.6,10.4,28,68.8,67.6,136.4,84.4,78,162.4,NA,NA,NA
All Major Ports,1992-93,21.1,14.2,35.3,86.5,80.9,167.4,107.6,95.1,202.7,NA,NA,NA
All Major Ports,1993-94,15.4,9.8,25.2,99.9,90.5,190.4,115.3,100.3,215.6,NA,NA,NA
All Major Ports,1994-95,18.9,14.6,33.5,124.3,108.4,232.7,143.2,123,266.2,NA,NA,NA
All Major Ports,1995-96,20.9,21.5,42.4,133.6,119.9,253.5,154.5,141.4,295.9,NA,NA,NA
